text_id,uid,text_date
1222,10,6/20/2020
1223,114,6/20/2020
1224,70,6/20/2020
1225,102,6/20/2020
1226,86,6/20/2020
1227,13,6/20/2020
1228,100,6/20/2020
1229,77,6/20/2020
1230,26,6/20/2020
1231,44,6/20/2020
1232,108,6/20/2020
1233,113,6/20/2020
1234,11,6/20/2020
1235,113,6/20/2020
1236,28,6/20/2020
1237,78,6/20/2020
1238,87,6/20/2020
1239,4,6/20/2020
1240,90,6/20/2020
1241,63,6/20/2020
1242,112,6/20/2020
1243,95,6/20/2020
1244,113,6/20/2020
1245,50,6/20/2020
1246,105,6/20/2020
